MLDM,MLMC,XKDM,XKMC,ZYDM,ZYMC
01,哲学,0101,哲学类,010100,哲学类
01,哲学,0101,哲学类,010101,哲学
01,哲学,0101,哲学类,010102,逻辑学
01,哲学,0101,哲学类,010103,宗教学
01,哲学,0101,哲学类,010104,伦理学
01,哲学,0101,哲学类,01010J,哲学基地班
01,哲学,01SY,人文科学试验班类,01SY00,人文科学试验班类
01,哲学,01SY,人文科学试验班类,01SY01,人文科学试验班
02,经济学,0201,经济学类,020100,经济学类
02,经济学,0201,经济学类,020101,经济学
02,经济学,0201,经济学类,020102,经济统计学
02,经济学,0201,经济学类,020103,国民经济管理
02,经济学,0201,经济学类,020104,资源与环境经济学
02,经济学,0201,经济学类,020105,商务经济学
02,经济学,0201,经济学类,020106,能源经济
02,经济学,0201,经济学类,02010J,经济学基地班
02,经济学,0202,财政学类,020200,财政学类
02,经济学,0202,财政学类,020201,财政学
02,经济学,0202,财政学类,020202,税收学
02,经济学,0203,金融学类,020300,金融学类
02,经济学,0203,金融学类,020301,金融学
02,经济学,0203,金融学类,020302,金融工程
02,经济学,0203,金融学类,020303,保险学
02,经济学,0203,金融学类,020304,投资学
02,经济学,0203,金融学类,020305,金融数学
02,经济学,0203,金融学类,020306,信用管理
02,经济学,0203,金融学类,020307,经济与金融
02,经济学,0203,金融学类,020308,精算学
02,经济学,0204,经济与贸易类,020400,经济与贸易类
02,经济学,0204,经济与贸易类,020401,国际经济与贸易
02,经济学,0204,经济与贸易类,020402,贸易经济
02,经济学,02SY,经济试验班类,02SY00,经济试验班类
02,经济学,02SY,经济试验班类,02SY01,经济试验班
02,经济学,02SY,经济试验班类,02SY02,经济管理试验班
03,法学,0301,法学类,030100,法学类
03,法学,0301,法学类,030101,法学
03,法学,0301,法学类,030102,知识产权
03,法学,0301,法学类,030103,监狱学
03,法学,0302,政治学类,030200,政治学类
03,法学,0302,政治学类,030201,政治学与行政学
03,法学,0302,政治学类,030202,国际政治
03,法学,0302,政治学类,030203,外交学
03,法学,0302,政治学类,030204,国际事务与国际关系
03,法学,0302,政治学类,030205,政治学、经济学与哲学
03,法学,0303,社会学类,030300,社会学类
03,法学,0303,社会学类,030301,社会学
03,法学,0303,社会学类,030302,社会工作
03,法学,0303,社会学类,030303,人类学
03,法学,0303,社会学类,030304,女性学
03,法学,0303,社会学类,030305,家政学
03,法学,0304,民族学类,030400,民族学类
03,法学,0304,民族学类,030401,民族学
03,法学,0305,马克思主义理论类,030500,马克思主义理论类
03,法学,0305,马克思主义理论类,030501,科学社会主义
03,法学,0305,马克思主义理论类,030502,中国共产党历史
03,法学,0305,马克思主义理论类,030503,思想政治教育
03,法学,0306,公安学类,030600,公安学类
03,法学,0306,公安学类,030601,治安学
03,法学,0306,公安学类,030602,侦查学
03,法学,0306,公安学类,030603,边防管理
03,法学,0306,公安学类,030604,禁毒学
03,法学,0306,公安学类,030605,警犬技术
03,法学,0306,公安学类,030606,经济犯罪侦查
03,法学,0306,公安学类,030607,边防指挥
03,法学,0306,公安学类,030608,消防指挥
03,法学,0306,公安学类,030609,警卫学
03,法学,0306,公安学类,030610,公安情报学
03,法学,0306,公安学类,030611,犯罪学
03,法学,0306,公安学类,030612,公安管理学
03,法学,0306,公安学类,030613,涉外警务
03,法学,0306,公安学类,030614,国内安全保卫
03,法学,0306,公安学类,030615,警务指挥与战术
03,法学,03SY,法学试验班类,03SY00,法学试验班类
03,法学,03SY,法学试验班类,03SY01,社会科学试验班
03,法学,03SY,法学试验班类,03SY02,法学试验班
04,教育学,0401,教育学类,040100,教育学类
04,教育学,0401,教育学类,040101,教育学
04,教育学,0401,教育学类,040102,科学教育
04,教育学,0401,教育学类,040103,人文教育
04,教育学,0401,教育学类,040104,教育技术学
04,教育学,0401,教育学类,040105,艺术教育
04,教育学,0401,教育学类,040106,学前教育
04,教育学,0401,教育学类,040107,小学教育
04,教育学,0401,教育学类,040108,特殊教育
04,教育学,0401,教育学类,040109,华文教育
04,教育学,0401,教育学类,040110,教育康复学
04,教育学,0402,体育学类,040200,体育学类
04,教育学,0402,体育学类,040201,体育教育
04,教育学,0402,体育学类,040202,运动训练
